slug,words,quick_facts,faq_items,decision,reason,junk,split_into,preexisting_noindex,has_auto_noindex
joel-m-ellis,113,3,2,noindex,113w < 200,False,,False,False
joel-morris,113,3,2,noindex,113w < 200,False,,False,False
kristy-etheridge,113,3,2,noindex,113w < 200,False,,False,False
simon-p-kennedy,113,0,0,noindex,113w < 200; no quick facts; no faq,False,,False,False
amy-gannett,112,3,2,noindex,112w < 200,False,,False,False
ashley-eneriz,112,3,2,noindex,112w < 200,False,,False,False
blake-glosson,112,3,2,noindex,112w < 200,False,,False,False
carey-nieuwhof,112,0,0,noindex,112w < 200; no quick facts; no faq,False,,False,False
alex-chediak,111,3,2,noindex,111w < 200,False,,False,False
ginger-blomberg,111,0,0,noindex,111w < 200; no quick facts; no faq,False,,False,False
joshua-torrey,111,0,0,noindex,111w < 200; no quick facts; no faq,False,,False,False
sadie-maples,111,3,2,noindex,111w < 200,False,,False,False
stephen-mattson,111,0,0,noindex,111w < 200; no quick facts; no faq,False,,False,False
winfree-brisley,111,3,2,noindex,111w < 200,False,,False,False
ardel-caneday,110,3,2,noindex,110w < 200,False,,False,False
blair-linne,110,3,2,noindex,110w < 200,False,,False,False
jim-mccarthy,110,3,2,noindex,110w < 200,False,,False,False
joey-sherrard,110,3,2,noindex,110w < 200,False,,False,False
keith-a-mathison,110,0,0,noindex,110w < 200; no quick facts; no faq,False,,False,False
ryan-burge,110,0,0,noindex,110w < 200; no quick facts; no faq,False,,False,False
scot-mcknight,110,0,0,noindex,110w < 200; no quick facts; no faq,False,,False,False
william-boekestein,110,0,0,noindex,110w < 200; no quick facts; no faq,False,,False,False
mark-dance,109,0,0,noindex,109w < 200; no quick facts; no faq,False,,False,False
paul-j-pastor,109,0,0,noindex,109w < 200; no quick facts; no faq,False,,False,False
seth-troutt,109,3,2,noindex,109w < 200,False,,False,False
stan-gale,109,0,0,noindex,109w < 200; no quick facts; no faq,False,,False,False
steve-mathewson,109,3,2,noindex,109w < 200,False,,False,False
thomas-goodwin,109,0,0,noindex,109w < 200; no quick facts; no faq,False,,False,False
chase-krug,108,3,2,noindex,108w < 200,False,,False,False
daniel-strand,108,3,2,noindex,108w < 200,False,,False,False
david-s-cloud,108,0,0,noindex,108w < 200; no quick facts; no faq,False,,False,False
zach-carter,108,3,2,noindex,108w < 200,False,,False,False
chad-van-dixhoorn,107,0,0,noindex,107w < 200; no quick facts; no faq,False,,False,False
gage-arnold,107,3,2,noindex,107w < 200,False,,False,False
jane-story,107,3,2,noindex,107w < 200,False,,False,False
jordan-b-cooper,107,0,0,noindex,107w < 200; no quick facts; no faq,False,,False,False
kirsten-black,107,3,2,noindex,107w < 200,False,,False,False
melissa-collier-gepford,107,3,2,noindex,107w < 200,False,,False,False
stephen-kloosterman,107,0,0,noindex,107w < 200; no quick facts; no faq,False,,False,False
t-m-suffield,107,0,0,noindex,107w < 200; no quick facts; no faq,False,,False,False
tom-harper,107,0,0,noindex,107w < 200; no quick facts; no faq,False,,False,False
alistair-chalmers,106,3,2,noindex,106w < 200,False,,False,False
grace-thomas,106,3,2,noindex,106w < 200,False,,False,False
nik-schatz,106,3,2,noindex,106w < 200,False,,False,False
peter-jones,106,0,0,noindex,106w < 200; no quick facts; no faq,False,,False,False
r-andrew-compton,106,0,0,noindex,106w < 200; no quick facts; no faq,False,,False,False
scott-mcclellan,106,0,0,noindex,106w < 200; no quick facts; no faq,False,,False,False
cameron-cole,105,0,0,noindex,105w < 200; no quick facts; no faq,False,,False,False
cassie-achermann,105,0,0,noindex,105w < 200; no quick facts; no faq,False,,False,False
chrys-jones,105,3,2,noindex,105w < 200,False,,False,False
kelly-keller,105,3,2,noindex,105w < 200,False,,False,False
kristen-lavalley,105,0,0,noindex,105w < 200; no quick facts; no faq,False,,False,False
moriah-lovett,105,3,2,noindex,105w < 200,False,,False,False
will-parker-anderson,105,3,2,noindex,105w < 200,False,,False,False
brandon-corley,104,3,2,noindex,104w < 200,False,,False,False
emma-brockes,104,0,0,noindex,104w < 200; no quick facts; no faq,False,,False,False
j-gary-millar,104,0,0,noindex,104w < 200; no quick facts; no faq,False,,False,False
jeffrey-a-stivason,104,3,2,noindex,104w < 200,False,,False,False
joanna-kimbrel,104,3,2,noindex,104w < 200,False,,False,False
kyla-gillespie,104,3,2,noindex,104w < 200,False,,False,False
liz-lykins,104,0,0,noindex,104w < 200; no quick facts; no faq,False,,False,False
scott-sauls,104,3,2,noindex,104w < 200,False,,False,False
thomas-petter,104,3,2,noindex,104w < 200,False,,False,False
thomas-west,104,0,0,noindex,104w < 200; no quick facts; no faq,False,,False,False
barry-york,103,0,0,noindex,103w < 200; no quick facts; no faq,False,,False,False
erica-barthalow,103,3,2,noindex,103w < 200,False,,False,False
j-v-fesko,103,0,0,noindex,103w < 200; no quick facts; no faq,False,,False,False
james-eglinton,103,0,0,noindex,103w < 200; no quick facts; no faq,False,,False,False
jeremy-kimble,103,0,0,noindex,103w < 200; no quick facts; no faq,False,,False,False
jonathan-swan-and-david-e-sanger,103,0,0,noindex,junk byline slug,True,,False,False
julie-dickerson,103,0,0,noindex,103w < 200; no quick facts; no faq,False,,False,False
kenneth-wingate,103,3,2,noindex,103w < 200,False,,False,False
mark-j-henninger,103,0,0,noindex,103w < 200; no quick facts; no faq,False,,False,False
miranda-carls,103,3,2,noindex,103w < 200,False,,False,False
sharonda-cooper,103,3,2,noindex,103w < 200,False,,False,False
taraleigh-cobble,103,3,2,noindex,103w < 200,False,,False,False
todd-pruitt,103,3,2,noindex,103w < 200,False,,False,False
william-s-plummer,103,0,0,noindex,103w < 200; no quick facts; no faq,False,,False,False
christina-fox,102,0,0,noindex,102w < 200; no quick facts; no faq,False,,False,False
dominique-gilliard,102,0,0,noindex,102w < 200; no quick facts; no faq,False,,False,False
john-brown-of-wamphray,102,0,0,noindex,102w < 200; no quick facts; no faq,False,,False,False
kevin-burrell,102,3,2,noindex,102w < 200,False,,False,False
pierce-taylor-hibbs,102,0,0,noindex,102w < 200; no quick facts; no faq,False,,False,False
samantha-decker,102,3,2,noindex,102w < 200,False,,False,False
sarah-walton,102,3,2,noindex,102w < 200,False,,False,False
sune-engel-rasmussen,102,0,0,noindex,102w < 200; no quick facts; no faq,False,,False,False
bob-stevenson,101,3,2,noindex,101w < 200,False,,False,False
dorothy-greco,101,0,0,noindex,101w < 200; no quick facts; no faq,False,,False,False
jemar-tisby,101,0,0,noindex,101w < 200; no quick facts; no faq,False,,False,False
john-ehrett,101,0,0,noindex,101w < 200; no quick facts; no faq,False,,False,False
joseph-porter,101,0,0,noindex,101w < 200; no quick facts; no faq,False,,False,False
stephen-eide,101,0,0,noindex,101w < 200; no quick facts; no faq,False,,False,False
thomas-brand,101,3,2,noindex,101w < 200,False,,False,False
adam-niess,100,3,2,noindex,100w < 200,False,,False,False
andrew-lisi,100,3,2,noindex,100w < 200,False,,False,False
anna-meade-harris,100,0,0,noindex,100w < 200; no quick facts; no faq,False,,False,False
colton-taylor,100,3,2,noindex,100w < 200,False,,False,False
drew-brown,100,3,2,noindex,100w < 200,False,,False,False
ivan-mesa,100,3,2,noindex,100w < 200,False,,False,False
joel-smit,100,3,2,noindex,100w < 200,False,,False,False
ligonier-editorial,100,0,0,noindex,100w < 200; no quick facts; no faq,False,,False,False
mitchell-g-bahnsen,100,3,2,noindex,100w < 200,False,,False,False
simona-gorton,100,3,2,noindex,100w < 200,False,,False,False
tyler-bauer,100,3,2,noindex,100w < 200,False,,False,False
alan-noble,99,0,0,noindex,99w < 200; no quick facts; no faq,False,,False,False
carl-peetz,99,3,2,noindex,99w < 200,False,,False,False
chad-higgins,99,3,2,noindex,99w < 200,False,,False,False
chris-hutchinson,99,3,2,noindex,99w < 200,False,,False,False
darin-white,99,3,2,noindex,99w < 200,False,,False,False
matthew-harmon,99,0,0,noindex,99w < 200; no quick facts; no faq,False,,False,False
michael-grayston,99,3,2,noindex,99w < 200,False,,False,False
thomas-brewer,99,0,0,noindex,99w < 200; no quick facts; no faq,False,,False,False
tilly-dillehay,99,3,2,noindex,99w < 200,False,,False,False
a-j-swoboda,98,0,0,noindex,98w < 200; no quick facts; no faq,False,,False,False
andrew-barber,98,3,2,noindex,98w < 200,False,,False,False
daniel-hames,98,3,2,noindex,98w < 200,False,,False,False
glenn-a-moots,98,0,0,noindex,98w < 200; no quick facts; no faq,False,,False,False
james-norris,98,0,0,noindex,98w < 200; no quick facts; no faq,False,,False,False
joseph-minich,98,0,0,noindex,98w < 200; no quick facts; no faq,False,,False,False
michael-graham,98,0,0,noindex,98w < 200; no quick facts; no faq,False,,False,False
murungi-igweta,98,3,2,noindex,98w < 200,False,,False,False
adam-callaway,97,3,2,noindex,97w < 200,False,,False,False
bruce-mckanna,97,3,2,noindex,97w < 200,False,,False,False
dean-davis,97,0,0,noindex,97w < 200; no quick facts; no faq,False,,False,False
h-b-charles,97,0,0,noindex,97w < 200; no quick facts; no faq,False,,False,False
jeffrey-stivason,97,0,0,noindex,97w < 200; no quick facts; no faq,False,,False,False
julianne-schultz,97,3,2,noindex,97w < 200,False,,False,False
katy-faust,97,3,2,noindex,97w < 200,False,,False,False
keith-bradsher,97,0,0,noindex,97w < 200; no quick facts; no faq,False,,False,False
neil-shenvi,97,3,2,noindex,97w < 200,False,,False,False
paul-levy,97,0,0,noindex,97w < 200; no quick facts; no faq,False,,False,False
philip-hunt,97,0,0,noindex,97w < 200; no quick facts; no faq,False,,False,False
phylicia-masonheimer,97,0,0,noindex,97w < 200; no quick facts; no faq,False,,False,False
skylar-spradlin,97,3,2,noindex,97w < 200,False,,False,False
brian-pell,96,3,2,noindex,96w < 200,False,,False,False
emily-belz,96,0,0,noindex,96w < 200; no quick facts; no faq,False,,False,False
j-stephen-yuille,96,0,0,noindex,96w < 200; no quick facts; no faq,False,,False,False
jackie-gibson,96,3,2,noindex,96w < 200,False,,False,False
joel-fick,96,0,0,noindex,96w < 200; no quick facts; no faq,False,,False,False
jordan-stone,96,0,0,noindex,96w < 200; no quick facts; no faq,False,,False,False
joseph-rigney,96,0,0,noindex,96w < 200; no quick facts; no faq,False,,False,False
karrie-hahn,96,0,0,noindex,96w < 200; no quick facts; no faq,False,,False,False
keith-evans,96,3,2,noindex,96w < 200,False,,False,False
lyndon-jost,96,3,2,noindex,96w < 200,False,,False,False
mike-mcgarry,96,0,0,noindex,96w < 200; no quick facts; no faq,False,,False,False
robert-hasler,96,3,2,noindex,96w < 200,False,,False,False
rosalind-picard,96,3,2,noindex,96w < 200,False,,False,False
samuel-g-parkison,96,0,0,noindex,96w < 200; no quick facts; no faq,False,,False,False
andy-shurson,95,0,0,noindex,95w < 200; no quick facts; no faq,False,,False,False
bruce-a-little,95,0,0,noindex,95w < 200; no quick facts; no faq,False,,False,False
bruce-gilley,95,0,0,noindex,95w < 200; no quick facts; no faq,False,,False,False
dan-vander-plaats,95,3,2,noindex,95w < 200,False,,False,False
farnaz-fassihi,95,0,0,noindex,95w < 200; no quick facts; no faq,False,,False,False
forrest-marion,95,3,2,noindex,95w < 200,False,,False,False
joshua-parcha,95,3,2,noindex,95w < 200,False,,False,False
ken-braddy,95,0,0,noindex,95w < 200; no quick facts; no faq,False,,False,False
marc-sims,95,3,2,noindex,95w < 200,False,,False,False
meredith-lee-myers,95,0,0,noindex,95w < 200; no quick facts; no faq,False,,False,False
owen-anderson,95,3,2,noindex,95w < 200,False,,False,False
adam-kipp,94,3,2,noindex,94w < 200,False,,False,False
aimee-byrd,94,0,0,noindex,94w < 200; no quick facts; no faq,False,,False,False
brittany-allen,94,3,2,noindex,94w < 200,False,,False,False
dan-jarms,94,0,0,noindex,94w < 200; no quick facts; no faq,False,,False,False
kyle-burks,94,3,2,noindex,94w < 200,False,,False,False
nick-batzig,94,0,0,noindex,94w < 200; no quick facts; no faq,False,,False,False
paul-koch,94,0,0,noindex,94w < 200; no quick facts; no faq,False,,False,False
sean-nolan,94,3,2,noindex,94w < 200,False,,False,False
steven-willing,94,3,2,noindex,94w < 200,False,,False,False
a-pca-ruling-elder,93,0,0,noindex,93w < 200; no quick facts; no faq,False,,False,False
amy-mantravadi,93,0,0,noindex,93w < 200; no quick facts; no faq,False,,False,False
cole-newton,93,3,2,noindex,93w < 200,False,,False,False
damian-paletta,93,0,0,noindex,93w < 200; no quick facts; no faq,False,,False,False
helen-louise-herndon,93,3,2,noindex,93w < 200,False,,False,False
jacob-percy,93,3,2,noindex,93w < 200,False,,False,False
jessica-burke,93,3,2,noindex,93w < 200,False,,False,False
kyle-strobel,93,0,0,noindex,93w < 200; no quick facts; no faq,False,,False,False
madelyn-moses,93,3,2,noindex,93w < 200,False,,False,False
ramon-presson,93,0,0,noindex,93w < 200; no quick facts; no faq,False,,False,False
shawn-wright,93,3,2,noindex,93w < 200,False,,False,False
adam-loretto,92,3,2,noindex,92w < 200,False,,False,False
barbara-harper,92,3,2,noindex,92w < 200,False,,False,False
emiliano-rodrguez-mega-and-csar-rodrguez,92,0,0,noindex,92w < 200; no quick facts; no faq,False,,False,False
landry-holmes,92,3,2,noindex,92w < 200,False,,False,False
matt-fraser,92,0,0,noindex,92w < 200; no quick facts; no faq,False,,False,False
matt-recker,92,0,0,noindex,92w < 200; no quick facts; no faq,False,,False,False
mitch-chase,92,0,0,noindex,92w < 200; no quick facts; no faq,False,,False,False
stephen-spinnenweber,92,3,2,noindex,92w < 200,False,,False,False
alyson-punzi,91,3,2,noindex,91w < 200,False,,False,False
beshay-sakla,91,3,2,noindex,91w < 200,False,,False,False
chad-huffman,91,0,0,noindex,91w < 200; no quick facts; no faq,False,,False,False
golden-matonga-and-matthew-mpoke-bigg,91,3,2,noindex,junk byline slug,True,,False,False
michelle-ayres,91,0,0,noindex,91w < 200; no quick facts; no faq,False,,False,False
paul-carter,91,3,2,noindex,91w < 200,False,,False,False
rob-tervet,91,3,2,noindex,91w < 200,False,,False,False
shane-pruitt,91,3,2,noindex,91w < 200,False,,False,False
brett-leeprice,90,0,0,noindex,90w < 200; no quick facts; no faq,False,,False,False
chris-maxwell,90,3,2,noindex,90w < 200,False,,False,False
daniel-k-williams,90,0,0,noindex,90w < 200; no quick facts; no faq,False,,False,False
daniel-strange,90,3,2,noindex,90w < 200,False,,False,False
gray-ewing,90,3,2,noindex,90w < 200,False,,False,False
hunter-beaumont,90,3,2,noindex,90w < 200,False,,False,False
karsten-harrison,90,3,2,noindex,90w < 200,False,,False,False
maggie-haberman-and-jonathan-swan,90,0,0,noindex,90w < 200; no quick facts; no faq,False,,False,False
matthew-cluraghty,90,3,2,noindex,90w < 200,False,,False,False
ronald-william-digiacomo,90,3,2,noindex,90w < 200,False,,False,False
rosaria-butterfield-and-jared-moore,90,3,2,noindex,90w < 200,False,,False,False
tyler-harden,90,3,2,noindex,90w < 200,False,,False,False
al-gooderham,89,3,2,noindex,89w < 200,False,,False,False
brad-edwards,89,0,0,noindex,89w < 200; no quick facts; no faq,False,,False,False
brandon-w-peach,89,3,2,noindex,89w < 200,False,,False,False
chris-reynolds,89,0,0,noindex,89w < 200; no quick facts; no faq,False,,False,False
joel-cho,89,0,0,noindex,89w < 200; no quick facts; no faq,False,,False,False
john-seel,89,0,0,noindex,89w < 200; no quick facts; no faq,False,,False,False
karen-swallow-prior,89,0,0,noindex,89w < 200; no quick facts; no faq,False,,False,False
lauren-washer,89,3,2,noindex,89w < 200,False,,False,False
matthew-lee-anderson,89,0,0,noindex,89w < 200; no quick facts; no faq,False,,False,False
steve-richardson,89,0,0,noindex,89w < 200; no quick facts; no faq,False,,False,False
walter-shaw,89,3,2,noindex,89w < 200,False,,False,False
amanda-conquers,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
anton-troianovski-and-david-e-sanger,88,0,0,noindex,junk byline slug,True,,False,False
arthur-gonalves,88,3,2,noindex,88w < 200,False,,False,False
bonnie-gray,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
carlotta-gall,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
emily-keller,88,3,2,noindex,88w < 200,False,,False,False
hannah-beech-and-daniel-berehulak,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
irwyn-ince,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
jamila-davison,88,3,2,noindex,88w < 200,False,,False,False
joshua-mitchell,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
ligonier-ministries,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
michael-abraham,88,3,2,noindex,88w < 200,False,,False,False
paul-s-jeon,88,3,2,noindex,88w < 200,False,,False,False
reuben-bredenhof,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
rob-brockman,88,3,2,noindex,88w < 200,False,,False,False
scott-w-kay,88,0,0,noindex,88w < 200; no quick facts; no faq,False,,False,False
vanessa-doughty,88,3,2,noindex,88w < 200,False,,False,False
will-dole,88,3,2,noindex,88w < 200,False,,False,False
abigail-thompson,87,0,0,noindex,87w < 200; no quick facts; no faq,False,,False,False
aie-balagtas-see-and-jes-aznar,87,3,2,noindex,87w < 200,False,,False,False
caleb-cangelosi,87,3,2,noindex,87w < 200,False,,False,False
casey-harper,87,3,2,noindex,87w < 200,False,,False,False
clayton-chancey,87,0,0,noindex,87w < 200; no quick facts; no faq,False,,False,False
dr-lucien-tuinstra,87,0,0,noindex,87w < 200; no quick facts; no faq,False,,False,False
j-chase-davis,87,0,0,noindex,87w < 200; no quick facts; no faq,False,,False,False
jenny-hietbrink,87,0,0,noindex,87w < 200; no quick facts; no faq,False,,False,False
john-kwasny,87,3,2,noindex,87w < 200,False,,False,False
matt-boga,87,3,2,noindex,87w < 200,False,,False,False
paige-brady,87,0,0,noindex,87w < 200; no quick facts; no faq,False,,False,False
rob-edenfield,87,3,2,noindex,87w < 200,False,,False,False
sam-beh,87,3,2,noindex,87w < 200,False,,False,False
shan-li,87,3,2,noindex,87w < 200,False,,False,False
steve-burchett,87,3,2,noindex,87w < 200,False,,False,False
arie-van-weelden,86,3,2,noindex,86w < 200,False,,False,False
audrey-finken,86,3,2,noindex,86w < 200,False,,False,False
bruce-henning,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
carolyn-morriscollier,86,3,2,noindex,86w < 200,False,,False,False
chelsea-kingston-erickson,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
donny-friederichsen,86,3,2,noindex,86w < 200,False,,False,False
erik-coonce,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
geoffrey-r-kirkland,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
ian-j-vaillancourt,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
jason-dees,86,3,2,noindex,86w < 200,False,,False,False
jay-sklar,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
jeremy-linneman,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
joy-marie-clarkson,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
m-elizabeth-lewis-hall,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
paul-putz,86,3,2,noindex,86w < 200,False,,False,False
peter-s-goodman-and-finbarr-oreilly,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
steve-bateman,86,3,2,noindex,86w < 200,False,,False,False
timon-cline,86,0,0,noindex,86w < 200; no quick facts; no faq,False,,False,False
amy-hornbuckle,85,3,2,noindex,85w < 200,False,,False,False
brad-larson,85,3,2,noindex,85w < 200,False,,False,False
carlotta-gall-and-stanislav-kozliuk,85,0,0,noindex,85w < 200; no quick facts; no faq,False,,False,False
chandler-vannoy,85,3,2,noindex,85w < 200,False,,False,False
danny-myers,85,0,0,noindex,85w < 200; no quick facts; no faq,False,,False,False
elisabetta-povoledo-and-elizabeth-dias,85,0,0,noindex,85w < 200; no quick facts; no faq,False,,False,False
hywel-george,85,0,0,noindex,85w < 200; no quick facts; no faq,False,,False,False
michael-clary,85,3,2,noindex,85w < 200,False,,False,False
pete-nicholas,85,0,0,noindex,85w < 200; no quick facts; no faq,False,,False,False
robbie-gramer,85,0,0,noindex,85w < 200; no quick facts; no faq,False,,False,False
stephen-chandler,85,3,2,noindex,85w < 200,False,,False,False
william-b-fullilove,85,3,2,noindex,85w < 200,False,,False,False
andrew-smith,84,3,2,noindex,84w < 200,False,,False,False
ben-stahl,84,3,2,noindex,84w < 200,False,,False,False
beth-claes,84,3,2,noindex,84w < 200,False,,False,False
declan-walsh-and-john-yoon,84,0,0,noindex,84w < 200; no quick facts; no faq,False,,False,False
eric-demeter,84,0,0,noindex,84w < 200; no quick facts; no faq,False,,False,False
isaiah-marshall,84,3,2,noindex,84w < 200,False,,False,False
jacob-leeming,84,3,2,noindex,84w < 200,False,,False,False
katie-peterson,84,3,2,noindex,84w < 200,False,,False,False
randy-booth,84,3,2,noindex,84w < 200,False,,False,False
rick-langer,84,0,0,noindex,84w < 200; no quick facts; no faq,False,,False,False
robert-mackey,84,3,2,noindex,84w < 200,False,,False,False
susan-bruxvoort-lipscomb,84,0,0,noindex,84w < 200; no quick facts; no faq,False,,False,False
zak-mellgren,84,3,2,noindex,84w < 200,False,,False,False
abraham-cho,83,0,0,noindex,83w < 200; no quick facts; no faq,False,,False,False
aie-balagtas-see-and-jason-gutierrez,83,3,2,noindex,83w < 200,False,,False,False
ashley-anthony,83,3,2,noindex,83w < 200,False,,False,False
charles-carman,83,0,0,noindex,83w < 200; no quick facts; no faq,False,,False,False
chris-larson,83,0,0,noindex,83w < 200; no quick facts; no faq,False,,False,False
corinne-carver,83,3,2,noindex,83w < 200,False,,False,False
hayden-nesbit,83,3,2,noindex,83w < 200,False,,False,False
jason-mcmartin,83,0,0,noindex,83w < 200; no quick facts; no faq,False,,False,False
jeremy-bell,83,0,0,noindex,83w < 200; no quick facts; no faq,False,,False,False
marina-dunbar,83,0,0,noindex,83w < 200; no quick facts; no faq,False,,False,False
ryan-bangert,83,3,2,noindex,83w < 200,False,,False,False
abdi-latif-dahir-and-leo-sands,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
bob-cutillo,82,3,2,noindex,82w < 200,False,,False,False
bob-doll,82,3,2,noindex,82w < 200,False,,False,False
brad-wetherell,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
brian-cosby,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
chris-buckley,82,3,2,noindex,82w < 200,False,,False,False
emily-van-dixhoorn,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
gideon-rossouw,82,3,2,noindex,82w < 200,False,,False,False
j-nicole-morgan,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
jason-horowitz,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
jt-reeves,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
kaspars-ozolins,82,3,2,noindex,82w < 200,False,,False,False
lane-tipton,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
nesrine-malik,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
sam-cheng,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
simon-tisdall,82,0,0,noindex,82w < 200; no quick facts; no faq,False,,False,False
andy-davis,81,3,2,noindex,81w < 200,False,,False,False
anne-kerhoulas,81,0,0,noindex,81w < 200; no quick facts; no faq,False,,False,False
editors,81,3,2,noindex,81w < 200,False,,False,False
erica-roth,81,0,0,noindex,81w < 200; no quick facts; no faq,False,,False,False
josh-irby,81,0,0,noindex,81w < 200; no quick facts; no faq,False,,False,False
justin-dillehay,81,0,0,noindex,81w < 200; no quick facts; no faq,False,,False,False
max-kim-and-chang-w-lee,81,3,2,noindex,junk byline slug,True,,False,False
pranav-baskar,81,3,2,noindex,81w < 200,False,,False,False
tom-hughes,81,0,0,noindex,81w < 200; no quick facts; no faq,False,,False,False
aimee-joseph,80,0,0,noindex,80w < 200; no quick facts; no faq,False,,False,False
amelia-nierenberg-and-ephrat-livni,80,0,0,noindex,80w < 200; no quick facts; no faq,False,,False,False
bryan-rose,80,0,0,noindex,80w < 200; no quick facts; no faq,False,,False,False
crystal-kershaw,80,3,2,noindex,80w < 200,False,,False,False
cyril-chavis,80,3,2,noindex,80w < 200,False,,False,False
daniel-guzmn,80,0,0,noindex,80w < 200; no quick facts; no faq,False,,False,False
jason-wilson,80,3,2,noindex,80w < 200,False,,False,False
john-currie,80,0,0,noindex,80w < 200; no quick facts; no faq,False,,False,False
mary-willson-hannah,80,3,2,noindex,80w < 200,False,,False,False
vika-pechersky,80,0,0,noindex,80w < 200; no quick facts; no faq,False,,False,False
bethany-broderick,79,0,0,noindex,79w < 200; no quick facts; no faq,False,,False,False
rebecca-f-elliott,79,0,0,noindex,79w < 200; no quick facts; no faq,False,,False,False
amy-tyson,78,0,0,noindex,78w < 200; no quick facts; no faq,False,,False,False
barry-waugh,78,0,0,noindex,78w < 200; no quick facts; no faq,False,,False,False
bekah-mccallum,78,0,0,noindex,78w < 200; no quick facts; no faq,False,,False,False
choe-sanghun,78,0,0,noindex,78w < 200; no quick facts; no faq,False,,False,False
eddie-larow,78,0,0,noindex,78w < 200; no quick facts; no faq,False,,False,False
glenna-marshall,78,0,0,noindex,78w < 200; no quick facts; no faq,False,,False,False
jeff-brannon,78,3,2,noindex,78w < 200,False,,False,False
julie-turkewitz,78,0,0,noindex,78w < 200; no quick facts; no faq,False,,False,False
roberto-carrera,78,0,0,noindex,78w < 200; no quick facts; no faq,False,,False,False
sutton-raphael-and-rebecca-suner,78,3,2,noindex,78w < 200,False,,False,False
abdi-latif-dahir,77,0,0,noindex,77w < 200; no quick facts; no faq,False,,False,False
ben-r-crenshaw,77,0,0,noindex,77w < 200; no quick facts; no faq,False,,False,False
daniel-devine,77,3,2,noindex,77w < 200,False,,False,False
daniel-nealon,77,3,2,noindex,77w < 200,False,,False,False
doug-eaton,77,3,2,noindex,77w < 200,False,,False,False
euan-ward-and-jenny-gross,77,3,2,noindex,77w < 200,False,,False,False
john-freeman,77,3,2,noindex,77w < 200,False,,False,False
matthew-loftus,77,0,0,noindex,77w < 200; no quick facts; no faq,False,,False,False
paul-christopher,77,0,0,noindex,77w < 200; no quick facts; no faq,False,,False,False
rich-wilkerson,77,3,2,noindex,77w < 200,False,,False,False
rory-shiner,77,3,2,noindex,77w < 200,False,,False,False
ryan-denton,77,3,2,noindex,77w < 200,False,,False,False
stephen-williams,77,0,0,noindex,77w < 200; no quick facts; no faq,False,,False,False
careese-rials,76,3,2,noindex,76w < 200,False,,False,False
guardian-staff,76,3,2,noindex,76w < 200,False,,False,False
j-oliver-conroy,76,3,2,noindex,76w < 200,False,,False,False
james-anderson,76,0,0,noindex,76w < 200; no quick facts; no faq,False,,False,False
jared-jeter,76,3,2,noindex,76w < 200,False,,False,False
reid-patton,76,3,2,noindex,76w < 200,False,,False,False
sarah-hahn,76,0,0,noindex,76w < 200; no quick facts; no faq,False,,False,False
stephen-bates,76,0,0,noindex,76w < 200; no quick facts; no faq,False,,False,False
thomas-christianson,76,3,2,noindex,76w < 200,False,,False,False
alexandra-wexler,75,3,2,noindex,75w < 200,False,,False,False
derek-brown,75,0,0,noindex,75w < 200; no quick facts; no faq,False,,False,False
jill-e-mccormick,75,3,2,noindex,75w < 200,False,,False,False
jonathan-sturm,75,3,2,noindex,75w < 200,False,,False,False
lynn-pryor,75,0,0,noindex,75w < 200; no quick facts; no faq,False,,False,False
natalie-andrews,75,3,2,noindex,75w < 200,False,,False,False
ryan-dub,75,3,2,noindex,75w < 200,False,,False,False
selah-bang,75,0,0,noindex,75w < 200; no quick facts; no faq,False,,False,False
ben-brophy,74,3,2,noindex,74w < 200,False,,False,False
jason-douglas,74,3,2,noindex,74w < 200,False,,False,False
